Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Ekrem ÇELEBÝ;AÐRI;;Doðu Anadolu;AK Parti;1965;55;Aðrý;Bürokrat;;Evli;2;Çukurova;Ýþletme;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ayhan EREL;AKSARAY;;Ýç Anadolu;ÝYÝ Parti;1957;63;Gümüþhane;Avukat;;Evli;2;Ankara;Hukuk;Lisans;0;;Erkek;;;;;;;;;;;
Cengiz AYDOÐDU;AKSARAY;;Ýç Anadolu;AK Parti;1958;62;Aksaray;Bürokrat;;Evli;2;Ankara;Siyasal;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýlknur ÝNCEÖZ;AKSARAY;;Ýç Anadolu;AK Parti;1973;47;Aksaray;Avukat;;Evli;1;Ýstanbul;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Ramazan KAÞLI;AKSARAY;;Ýç Anadolu;MHP;1969;51;Aksaray;Ýþinsaný;;Evli;2;0;0;0;Ýngilizce;;Erkek;;;;;;;;;;;
Hasan ÇÝLEZ;AMASYA;;Karadeniz;AK Parti;1974;46;Amasya;Ýþinsaný;;Evli;2;Atatürk;Ýktisat;Lisans;0;;Erkek;;;;;;;;;;;
Mustafa TUNCER;AMASYA;;Karadeniz;CHP;1971;49;Amasya;Avukat;;Evli;2;Ýstanbul;Hukuk;Lisans;Fransýzca;;Erkek;;;;;;;;;;;
Mustafa Levent KARAHOCAGÝL;AMASYA;;Karadeniz;AK Parti;1959;61;Erzurum;Öðretmen;;Evli;2;Atatürk;Eðitim;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ahmet Haluk KOÇ;ANKARA;;Ýç Anadolu;CHP;1954;66;Ýstanbul;Doktor;;Evli;2;Ankara;Týp;Doktora;Fransýzca;Ýngilizce;Erkek;;;;;;;;;;;
Ali Haydar HAKVERDÝ;ANKARA;;Ýç Anadolu;CHP;1979;41;Çorum;Avukat;;Evli;1;Marmara;Hukuk;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ali Ýhsan ARSLAN;ANKARA;;Ýç Anadolu;AK Parti;1969;51;Ankara;Ýþinsaný;;Evli;?;Ankara;Ýletiþim;Lisans;0;;Erkek;;;;;;;;;;;
Arife POLAT DÜZGÜN;ANKARA;;Ýç Anadolu;AK Parti;1969;51;Ankara;Doktor;;Evli;2;Gazi;Týp;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Asuman ERDOÐAN;ANKARA;;Ýç Anadolu;AK Parti;1980;40;Ankara;Öðretmen;;Evli;5;Boðaziçi;Ýngilizce;Lisans;Ýngilizce;Fransýzca;Kadýn;;;;;;;;;;;
Ayhan ALTINTAÞ;ANKARA;;Ýç Anadolu;ÝYÝ Parti;1958;62;Yozgat;Akademisyen;;Evli;2;Ohio;Mühendis;Doktora;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Barýþ AYDIN;ANKARA;;Ýç Anadolu;AK Parti;1975;45;Ankara;Ýþinsaný;;Evli;3;York;Ýþletme;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Bülent KUÞOÐLU;ANKARA;;Ýç Anadolu;CHP;1958;62;Erzurum;Bürokrat;;Evli;2;Ankara;Siyasal;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Durmuþ YILMAZ;ANKARA;;Ýç Anadolu;ÝYÝ Parti;1947;73;Uþak;Ekonomist;;Evli;3;Londra;Ekonomi;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Emrullah ÝÞLER;ANKARA;;Ýç Anadolu;AK Parti;1960;60;Ankara;Akademisyen;;Evli;3;Ankara;Ýlahiyat;Doktora;Arapça;Ýngilizce;Erkek;;;;;;;;;;;
Erkan HABERAL;ANKARA;;Ýç Anadolu;MHP;1972;48;Rize;Gazeteci;;Evli;2;?;Ýþletme;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Fatih ÞAHÝN;ANKARA;;Ýç Anadolu;AK Parti;1979;41;Çanakkale;Avukat;;Evli;2;Ankara;Hukuk;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Filiz KERESTECÝOÐLU DEMÝR;ANKARA;;Ýç Anadolu;HDP;1961;59;Kocaeli;Avukat;;Evli;1;Ankara;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Gamze TAÞCIER;ANKARA;;Ýç Anadolu;CHP;1982;38;Ankara;Eczacý;;Evli;2;Ankara;Eczacýlýk;Lisans;?;;Kadýn;;;;;;;;;;;
Hacý TURAN;ANKARA;;Ýç Anadolu;AK Parti;1968;52;Kýrþehir;Ýþinsaný;;Evli;3;Erciyes;Ýlahiyat;Yükseklisans;Arapça;Fransýzca;Erkek;;;;;;;;;;;
Ýbrahim Halil ORAL;ANKARA;;Ýç Anadolu;ÝYÝ Parti;1958;62;Bitlis;Öðretmen;;Evli;3;Ankara;Ýlahiyat;Lisans;Arapça;Fransýzca;Erkek;;;;;;;;;;;
Koray AYDIN;ANKARA;;Ýç Anadolu;ÝYÝ Parti;1955;65;Trabzon;Mühendis;;Evli;3;KTÜ;Mühendis;Lisans;?;;Erkek;;;;;;;;;;;
Levent GÖK;ANKARA;;Ýç Anadolu;CHP;1959;61;Balýkesir;Avukat;;Evli;2;Ankara;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Lütfiye Selva ÇAM;ANKARA;;Ýç Anadolu;AK Parti;1970;50;Þanlýurfa;Ýþinsaný;;Evli;3;ODTÜ;Mühendis;Lisans;Ýngilizce;Fransýzca;Kadýn;;;;;;;;;;;
Mehmet Naci BOSTANCI;ANKARA;;Ýç Anadolu;AK Parti;1957;63;Amasya;Akademisyen;;Evli;2;Ýstanbul;Ýktisat;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Mevlüt KARAKAYA;ANKARA;;Ýç Anadolu;MHP;1963;57;Ankara;Akademisyen;;Evli;2;Gazi;Ýþletme;Doktora;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Murat EMÝR;ANKARA;;Ýç Anadolu;CHP;1969;51;Malatya;Doktor;;Evli;2;Hacettepe;Týp;Doktora;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Mustafa DESTÝCÝ;ANKARA;;Ýç Anadolu;BBP;1966;54;Eskiþehir;Siyasetçi;;Evli;3;Gazi;Ýlahiyat;Yükseklisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Nevin TAÞLIÇAY;ANKARA;;Ýç Anadolu;MHP;1974;46;Kýrþehir;Eczacý;;Evli;3;Ankara;Eczacýlýk;Lisans;?;;Kadýn;;;;;;;;;;;
Nevzat CEYLAN;ANKARA;;Ýç Anadolu;AK Parti;1953;67;Ankara;Siyasetçi;;Evli;2;Hacettepe;Ýþletme;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Nihat YEÞÝL;ANKARA;;Ýç Anadolu;CHP;1957;63;Tunceli;Öðretmen;;Evli;3;Gazi;Eðitim;Lisans;?;;Erkek;;;;;;;;;;;
Orhan YEGÝN;ANKARA;;Ýç Anadolu;AK Parti;1978;42;Ankara;Siyasetçi;;Evli;2;Kýrýkkale;Ýktisat;Yükseklisans;?;;Erkek;;;;;;;;;;;
Sadir DURMAZ;ANKARA;;Ýç Anadolu;MHP;1963;57;Kýrþehir;Bürokrat;;Evli;2;KTÜ;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
