Isim Soyisim;Þehir;Sehir Yas Ortalamasi;Bölge;Parti;Doðum Yýlý;Milletvekili Yas;Doðum Yeri;Ýþ Alanlarý;Siyasete Baþladýðý Parti;Evli;Çocuk;Üniversite;Bölüm;En Yüksek Eðitim;Diller;;Cinsiyet;;;;;;;;;;;
Ahmet Kamil EROZAN;BURSA;;Marmara;ÝYÝ Parti;1950;70;Bursa;Bürokrat;;Evli;2;Ankara;Siyasal;Lisans;Fransýzca;Ýngilizce;Erkek;;;;;;;;;;;
Atilla ÖDÜNÇ;BURSA;;Marmara;AK Parti;1977;43;Bursa;Siyasetçi;;Evli;2;Osmangazi;Mühendis;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Efkan ALA;BURSA;;Marmara;AK Parti;1965;55;Erzurum;Bürokrat;;Evli;2;Ýstanbul;Siyasal;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Emine YAVUZ GÖZGEÇ;BURSA;;Marmara;AK Parti;1969;51;Bursa;Avukat;;Evli;1;Dokuz Eylül;Hukuk;Lisans;?;;Kadýn;;;;;;;;;;;
Erkan AYDIN;BURSA;;Marmara;CHP;1974;46;Ýstanbul;Eczacý;;Evli;2;Hacettepe;Eczacýlýk;Lisans;?;;Erkek;;;;;;;;;;;
Hakan ÇAVUÞOÐLU;BURSA;;Marmara;AK Parti;1972;48;Yunanistan;Avukat;;Evli;2;Ankara;Hukuk;Lisans;Yunanca;Ýngilizce;Erkek;;;;;;;;;;;
Ýsmail TATLIOÐLU;BURSA;;Marmara;ÝYÝ Parti;1960;60;Bursa;Akademisyen;;Evli;3;Uludað;Ýktisat;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Ýsmet BÜYÜKATAMAN;BURSA;;Marmara;MHP;1953;67;Amasya;Siyasetçi;;Evli;2;Ankara;Ýþletme;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Lale KARABIYIK;BURSA;;Marmara;CHP;1965;55;Bilecik;Akademisyen;;Evli;1;Uludað;Ýktisat;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Muhammet Müfit AYDIN;BURSA;;Marmara;AK Parti;1954;66;Aðrý;Bürokrat;;Evli;5;Anadolu;Ýþletme;Lisans;Kürtçe;Arapça;Erkek;;;;;;;;;;;
Mustafa ESGÝN;BURSA;;Marmara;AK Parti;1966;54;Bursa;Doktor;;Evli;3;Uludað;Týp;Yükseklisans;?;;Erkek;;;;;;;;;;;
Mustafa Hidayet VAHAPOÐLU;BURSA;;Marmara;MHP;1956;64;Çorum;Asker;;Evli;2;Ankara;Eðitim;Yükseklisans;?;;Erkek;;;;;;;;;;;
Nurhayat ALTACA KAYIÞOÐLU;BURSA;;Marmara;CHP;1978;42;Tunceli;Avukat;;Evli;1;Ankara;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Orhan SARIBAL;BURSA;;Marmara;CHP;1966;54;Erzincan;Siyasetçi;;Evli;2;Ankara;Ziraat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Osman MESTEN;BURSA;;Marmara;AK Parti;1971;49;Bursa;Avukat;;Evli;3;Ýstanbul;Hukuk;Lisans;Arapça;Ýngilizce;Erkek;;;;;;;;;;;
Kani BEKO;ÝZMÝR;;Ege;CHP;1953;67;Makedonya;Ýþçi;CHP;Evli;2;0;0;Ortaokul;?;;Erkek;;;;;;;;;;;
Kemal KILIÇDAROÐLU;ÝZMÝR;;Ege;CHP;1948;72;Tunceli;Maliyeci;DSP;Evli;3;Gazi;Ticari Ýlimler;Lisans;Fransýzca;;Erkek;;;;;;;;;;;
Mahir POLAT;ÝZMÝR;;Ege;CHP;1975;45;Gaziantep;Bürokrat;CHP;Evli;2;Ýzmir Katip Çelebi;Politik Ekonomi;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Mahmut Atilla KAYA;ÝZMÝR;;Ege;AK Parti;1973;47;Ýzmir;Avukat;AKP;Evli;1;Ankara;Hukuk;Lisans;;;Erkek;;;;;;;;;;;
Mehmet Ali ÇELEBÝ;ÝZMÝR;;Ege;CHP;1984;36;Ankara;Asker;CHP;Evli;0;Harp Okulu;Harp Okulu;Lisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Murat BAKAN;ÝZMÝR;;Ege;CHP;1972;48;Ankara;Avukat;CHP;Evli;1;Ankara ;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Murat ÇEPNÝ;ÝZMÝR;;Ege;HDP;1974;46;Rize;Siyasetçi;ESP;Evli;2;0;0;Lise;?;;Erkek;;;;;;;;;;;
Necip NASIR;ÝZMÝR;;Ege;AK Parti;1959;61;Bitlis;Ýþinsaný;AKP;Evli;3;Dicle;Ýnþaat Mühendisliði;Lisans;? ;;Erkek;;;;;;;;;;;
Özcan PURÇU;ÝZMÝR;;Ege;CHP;1977;43;Aydýn;Sivil Toplum Yöneticisi;CHP;Evli;2;Uludað;Kamu Yönetimi ;Lisans;Romanca;;Erkek;;;;;;;;;;;
Selin SAYEK BÖKE;ÝZMÝR;;Ege;CHP;1972;48;Amerika;Akademisyen ;CHP;Evli;2;Duke;Ýktisat;Doktora;Ýngilizce;;Kadýn;;;;;;;;;;;
Serpil KEMALBAY PEKGÖZEGÜ;ÝZMÝR;;Ege;HDP;1964;56;Ardahan;Mühendis;HDP;Evli;?;ÝTÜ;Kimya Mühendisi;Lisans;?;;Kadýn;;;;;;;;;;;
Sevda ERDAN KILIÇ;ÝZMÝR;;Ege;CHP;1980;40;Eskiþehir;Avukat;CHP;Evli;1;Dokuz Eylül;Hukuk;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Tacettin BAYIR;ÝZMÝR;;Ege;CHP;1960;60;Ýzmir;Ýþinsaný;CHP;Evli;2;0;0;Lise;?;;Erkek;;;;;;;;;;;
Tamer OSMANAÐAOÐLU;ÝZMÝR;;Ege;MHP;1963;57;Aðrý;Ýþinsaný;MHP;?;?;Ýstanbul Aydýn;Adalet;Yüksekokul ;Ýngilizce;;Erkek;;;;;;;;;;;
Yaþar KIRKPINAR;ÝZMÝR;;Ege;AK Parti;1973;47;Erzurum;Ýþinsaný;AKP;Evli;3;Dokuz Eylül;Ýktisat;Lisans;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Ahmet ÖZDEMÝR;KAHRAMANMARAÞ;;Akdeniz;AK Parti;1977;43;Kahramanmaraþ;Avukat;AKP;Evli ;1;Dicle;Hukuk;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Ali ÖZTUNÇ;KAHRAMANMARAÞ;;Akdeniz;CHP;1976;44;Almanya;Gazeteci;CHP;Evli;?;Gazi;Gazetecilik;Lisans ;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Celalettin GÜVENÇ;KAHRAMANMARAÞ;;Akdeniz;AK Parti;1959;61;Kahramanmaraþ;Bürokrat;AKP;Evli;2;Gazi;Kamu Hukuku;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Habibe ÖÇAL;KAHRAMANMARAÞ;;Akdeniz;AK Parti;1968;52;Kahramanmaraþ;Öðretmen;AKP;Evli;3;Bolu Ýzzet Baysal  ;Ýþletme;Lisans;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Ýmran KILIÇ;KAHRAMANMARAÞ;;Akdeniz;AK Parti;1957;63;Kahramanmaraþ;Din adamý;AKP;Evli;3;Erzurum Atatürk;Ýslami Bilimler;Yükseklisans;Arapça;;Erkek;;;;;;;;;;;
Mahir ÜNAL;KAHRAMANMARAÞ;;Akdeniz;AK Parti;1966;54;Kahramanmaraþ;Akademisyen;AKP;Evli;2;Ýstanbul;Sosyal Yapý ve Sosyal Deðiþme;Yükseklisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Mehmet Cihat SEZAL;KAHRAMANMARAÞ;;Akdeniz;AK Parti;1980;40;Kahramanmaraþ;Ýþinsaný;AKP;Evli;2;Sütçü Ýmam;Kamu Yönetimi;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Sefer AYCAN;KAHRAMANMARAÞ;;Akdeniz;MHP;1963;57;Kahramanmaraþ;Doktor ;MHP;Evli;2;Gazi;Týp;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Cumhur ÜNAL;KARABÜK;;Karadeniz;AK Parti;1966;54;Karabük;Muhasebeci;AKP;Evli;2;Hacettepe ;Muhasebe;Yüksekokul ;Fransýzca;;Erkek;;;;;;;;;;;
Hüseyin Avni AKSOY;KARABÜK;;Karadeniz;CHP;1956;64;Karabük;Doktor;CHP;Evli;1;Hacettepe ;Týp;Doktora;Ýngilizce;Fransýzca;Erkek;;;;;;;;;;;
Niyazi GÜNEÞ;KARABÜK;;Karadeniz;AK Parti;1953;67;Karabük;Din adamý;AKP;Evli;3;Uludað;Ýlahiyatçý;Lisans;Arapça;Almanca, Ýngilizce;Erkek;;;;;;;;;;;
Ýsmail Atakan ÜNVER;KARAMAN;;Ýç Anadolu;CHP;1974;46;Karaman;Avukat;CHP;Evli;1;Selçuk;Hukuk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Recep ÞEKER;KARAMAN;;Ýç Anadolu;AK Parti;1972;48;Karaman;Doktor;AKP;Evli;3;Erciyes;Týp;Doktora;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Selman Oðuzhan ESER;KARAMAN;;Ýç Anadolu;AK Parti;1983;37;Karaman;Avukat;AKP;Evli;2;Yakýn Doðu ;Hukuk;Lisans;?;;Erkek;;;;;;;;;;;
Salihe AYDENÝZ;DÝYARBAKIR;;Güneydoðu Anadolu;DBP;1973;47;Diyarbakýr;Hemþire;HDP;Evli;2;Anadolu Üniversitesi Açýk Öðretim Fakültesi ;Ebelik;Lisans;Kürtçe;;Erkek;;;;;;;;;;;
Semra GÜZEL;DÝYARBAKIR;;Güneydoðu Anadolu;HDP;1984;36;Þanlýurfa;Doktor;HDP;?;?;Harran;Týp;Doktora;?;;Kadýn;;;;;;;;;;;
Ayþe KEÞÝR;DÜZCE;;Marmara;AK Parti;1967;53;Düzce;Ýletiþimci;AKP;Evli;3;Yýldýrým Beyazýt;Sosyal Politikalar;Yükseklisans;Ýngilizce;Arapça;Kadýn;;;;;;;;;;;
Fahri ÇAKIR;DÜZCE;;Marmara;AK Parti;1958;62;Düzce;Öðretmen;MHP;Evli;5;Marmara;Matematik;Lisans;?;;Erkek;;;;;;;;;;;
Ümit YILMAZ;DÜZCE;;Marmara;MHP;1971;49;Zonguldak;Eczacý;MHP;Evli;2;Gazi ;Eczacýlýk;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Fatma AKSAL;EDÝRNE;;Marmara;AK Parti;1965;55;Edirne;Akademisyen;AKP;Bekar;0;Virginia Polytehnic Institute;Ekonomi;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Okan GAYTANCIOÐLU;EDÝRNE;;Marmara;CHP;1967;53;Edirne;Mühendis;CHP;Evli;1;Trakya;Ziraat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Orhan ÇAKIRLAR;EDÝRNE;;Marmara;ÝYÝ Parti;1954;66;Edirne;Özel sektör yöneticisi;MHP;Evli;2;Hacettepe ;Endüstri Mühendisliði;Lisans;?;;Erkek;;;;;;;;;;;
Gürsel EROL;ELAZIÐ;;Doðu Anadolu;CHP;1963;57;Elazýð;Ýþinsaný;SHP;Evli;3;?;?;Lisans;;;Erkek;;;;;;;;;;;
Metin BULUT;ELAZIÐ;;Doðu Anadolu;AK Parti;1971;49;Elazýð;Ýþinsaný;AKP;Evli;3;Fýrat;Biyoloji ve Genetik;Yükseklisans;Ýngilzce;Arapça;Erkek;;;;;;;;;;;
Sermin BALIK;ELAZIÐ;;Doðu Anadolu;AK Parti;1972;48;Tunceli;Ýþinsaný;AKP;Evli;2;Tunceli MYO;?;Yüksekokul ;?;;Kadýn;;;;;;;;;;;
Zülfü DEMÝRBAÐ;ELAZIÐ;;Doðu Anadolu;AK Parti;1956;64;Elazýð;Mühendis;AKP;Evli;4;Fýrat;Ýnþaat Mühendisliði;Lisans;Arapça;Ýngilizce ;Erkek;;;;;;;;;;;
Zülfü Tolga AÐAR;ELAZIÐ;;Doðu Anadolu;AK Parti;1975;45;Ankara;Ýþinsaný;AKP;Evli;1;Mount Ýda College;Ýþletme;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Burhan ÇAKIR;ERZÝNCAN;;Doðu Anadolu;AK Parti;1969;51;Erzincan;Muhasebeci;AKP;Evli;2;Erzincan Üni;Özel Hukuk;Yükseklisans;?;;Erkek;;;;;;;;;;;
Süleyman KARAMAN;ERZÝNCAN;;Doðu Anadolu;AK Parti;1956;64;Erzincan;Mühendis;AKP;Evli;3;ÝTÜ;Makine Mühendisliði;Yükseklisans;Ýngilizce;;Erkek;;;;;;;;;;;
Ýbrahim AYDEMÝR;ERZURUM;;Doðu Anadolu;AK Parti;1962;58;Erzurum;Muhasebeci;AKP;Bekar;0;Atatürk;Ýþletme Yönetimi;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Kamil AYDIN;ERZURUM;;Doðu Anadolu;MHP;1963;57;Erzurum;Akademisyen;MHP;Evli;2;Warwick;Edebiyat;Doktora;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Muhammet Naci CÝNÝSLÝ;ERZURUM;;Doðu Anadolu;ÝYÝ Parti;1969;51;Ýstanbul;Ýþinsaný;ÝYÝ;Evli;2;Ýstanbul;Ýþletme;Lisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Recep AKDAÐ;ERZURUM;;Doðu Anadolu;AK Parti;1960;60;Erzurum;Doktor;AKP;Evli;6;Erzurum Atatürk;Týp;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Selami ALTINOK;ERZURUM;;Doðu Anadolu;AK Parti;1966;54;Erzurum;Bürokrat;AKP;Evli;3;Ýstanbul;Kamu Yönetimi;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Zehra TAÞKESENLÝOÐLU BAN;ERZURUM;;Doðu Anadolu;AK Parti;1972;48;Erzurum;Ekonomist;AKP;Evli;0;Uludað;Avrupa Birliði Ýliþkileri;Yükseklisans;Ýngilizce;Swahili, Fransýzca;Erkek;Neden kýrmýzý?;;;;;;;;;;
Arslan KABUKCUOÐLU;ESKÝÞEHÝR;;Ýç Anadolu;ÝYÝ Parti;1957;63;Nevþehir ;Doktor;ÝYÝ;Evli;2;Hacettepe ;Týp;Doktora;Ýngilizce;0;Erkek;;;;;;;;;;;
Emine Nur GÜNAY;ESKÝÞEHÝR;;Ýç Anadolu;AK Parti;1962;58;Eskiþehir;Akademisyen;AKP;Evli;2;Vanderbilt ;Ekonomi;Doktora;Ýngilizce;;Erkek;;;;;;;;;;;
Harun KARACAN;ESKÝÞEHÝR;;Ýç Anadolu;AK Parti;1966;54;Eskiþehir;Ýþinsaný;AKP;Evli;2;Konya ;Uluslararasý Ýliþkiker ve Siyaset Bilimi;Yükseklisans;0;;Erkek;;;;;;;;;;;
Jale Nur SÜLLÜ;ESKÝÞEHÝR;;Ýç Anadolu;CHP;1962;58;Eskiþehir;Akademisyen;CHP;Evli;2;Ankara;Ýletiþim;Doktora;Ýngilizce;0;Kadýn;;;;;;;;;;;
Metin Nurullah SAZAK;ESKÝÞEHÝR;;Ýç Anadolu;MHP;1959;61;Eskiþehir;Ýþinsaný;MHP;Evli;2;Ankara;Fen Fakültesi;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Nabi AVCI;ESKÝÞEHÝR;;Ýç Anadolu;AK Parti;1953;67;Eskiþehir;Akademisyen;AKP;Evli;5;ODTÜ;ÝÝBF;Doktora;Almanca;Ýngilizce;Erkek;;;;;;;;;;;
Utku ÇAKIRÖZER;ESKÝÞEHÝR;;Ýç Anadolu;CHP;1970;50;Eskiþehir;Gazeteci;CHP;Evli;?;Bilkent;Bilgisayar Mühendisliði;Yükseklisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Abdullah Nejat KOÇER;GAZÝANTEP;;Güneydoðu Anadolu;AK Parti;1963;57;Gaziantep;Ýþinsaný;AKP;Evli;3;Gaziantep;Ýþletme Yönetimi;Önlisans;0;0;Erkek;;;;;;;;;;;
Ahmet UZER;GAZÝANTEP;;Güneydoðu Anadolu;AK Parti;1956;64;Gaziantep;Ýþinsaný;FP;Evli;3;Çukurova;ÝÝBF;Lisans;0;0;Erkek;;;;;;;;;;;
Ali ÞAHÝN;GAZÝANTEP;;Güneydoðu Anadolu;AK Parti;1970;50;Gaziantep;Diplomat;RP;Evli;2;Pakistan Karaçi Üniversitesi;Uluslararasý Ýliþkiler;Yükseklisans;Ýngilizce;Arapça, Urduca;Erkek;;;;;;;;;;;
Ali Muhittin TAÞDOÐAN;GAZÝANTEP;;Güneydoðu Anadolu;MHP;1973;47;Gaziantep;Doktor;MHP;Evli;4;Selçuk;Týp;Yükseklisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Bayram YILMAZKAYA;GAZÝANTEP;;Güneydoðu Anadolu;CHP;1968;52;Adýyaman;Doktor;CHP;Evli;2;Çukurova;Týp;Yükseklisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Derya BAKBAK;GAZÝANTEP;;Güneydoðu Anadolu;AK Parti;1972;48;Gaziantep;Akademisyen;CHP;Evli;2;Gazi;Mimarlýk;Doktora;Ýngilizce;0;Kadýn;;;;;;;;;;;
Ýmam Hüseyin FÝLÝZ;GAZÝANTEP;;Güneydoðu Anadolu;ÝYÝ Parti;1950;70;Gaziantep;Akademisyen;ÝYÝ Parti;Evli;2;ODTÜ;Makine Mühendisliði;Doktora;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Ýrfan KAPLAN;GAZÝANTEP;;Güneydoðu Anadolu;CHP;1954;66;Gaziantep;Eczacý;CHP;Evli;3;Anadolu;Eczacýlýk;Lisans;0;0;Erkek;;;;;;;;;;;
Mahmut TOÐRUL;GAZÝANTEP;;Güneydoðu Anadolu;HDP;1967;53;Kahramanmaraþ;Akademisyen;BDP;Evli;1;Dicle;Kimya;Doktora;Ýngilizce;Kürtçe;Erkek;;;;;;;;;;;
Mehmet ERDOÐAN;GAZÝANTEP;;Güneydoðu Anadolu;AK Parti;1956;64;Adýyaman;Ýþinsaný;AKP;Evli;6;Anadolu;ÝÝBF;Lisans;0;0;Erkek;;;;;;;;;;;
Mehmet Sait KÝRAZOÐLU;GAZÝANTEP;;Güneydoðu Anadolu;AK Parti;1973;47;Adýyaman;Bürokrat;AKP;Evli;4;Ankara;SBF;Yükseklisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Müslüm YÜKSEL;GAZÝANTEP;;Güneydoðu Anadolu;AK Parti;1994;26;Gaziantep;Öðrenci;AKP;Bekar;0;Baþkent;Hukuk;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Sermet ATAY;GAZÝANTEP;;Güneydoðu Anadolu;MHP;1964;56;Gaziantep;Avukat;MHP;Evli;3;Ýstanbul;Hukuk;Lisans;Ýngilizce;Rusça;Erkek;;;;;;;;;;;
Cemal ÖZTÜRK;GÝRESUN;;Karadeniz;AK Parti;1958;62;Giresun;Akademisyen;AKP;Evli;4;Ankara;Ýþletme;Doktora;Ýngilizce;0;Erkek;;;;;;;;;;;
Kadir AYDIN;GÝRESUN;;Karadeniz;AK Parti;1971;49;Giresun;Avukat;AKP;Evli;3;Ýstanbul;Hukuk;Lisans;0;0;Erkek;;;;;;;;;;;
Necati TIÐLI;GÝRESUN;;Karadeniz;CHP;1983;37;Giresun;Esnaf;CHP;Evli;1;Anadolu;Sosyoloji;Lisans;0;0;Erkek;;;;;;;;;;;
Sabri ÖZTÜRK;GÝRESUN;;Karadeniz;AK Parti;1973;47;Giresun;Avukat;FP;Evli;3;Ýstanbul;Hukuk;Lisans;0;0;Erkek;;;;;;;;;;;
Cihan PEKTAÞ;GÜMÜÞHANE;;Karadeniz;AK Parti;1970;50;Gümüþhane;Bürokrat;RP;Evli;2;Anadolu;Ýktisat;Lisans;0;0;Erkek;;;;;;;;;;;
Hacý Osman AKGÜL;GÜMÜÞHANE;;Karadeniz;AK Parti;1960;60;Gümüþhane;Bürokrat;RP;Evli;3;Yýldýz;Makine Mühendisliði;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Husret DÝNÇ;HAKKARÝ;;Güneydoðu Anadolu;AK Parti;1969;51;Ýran;Korucu;AKP;Evli;19;0;0;Ortaokul;Kürtçe;Arapça, Farsça;Erkek;;;;;;;;;;;
Sait DEDE;HAKKARÝ;;Güneydoðu Anadolu;HDP;1985;35;Hakkari;Doktor;HDP;Bekar;0;Mersin;Týp;Lisans;Kürtçe;0;Erkek;;;;;;;;;;;
Abdulkadir ÖZEL;HATAY;;Akdeniz;AK Parti;1979;41;Hatay;Avukat;AKP;Evli;4;Ankara;Hukuk;Lisans;Arapça;0;Erkek;;;;;;;;;;;
Barýþ Atay MENGÜLLÜOÐLU;HATAY;;Akdeniz;TÝP;1981;39;Almanya;Sanatçý;HDP;Evli;0;Yeditepe;Tiyatro;Lisans;Almanca;0;Erkek;;;;;;;;;;;
Hacý Bayram TÜRKOÐLU;HATAY;;Akdeniz;AK Parti;1954;66;Hatay;Eczacý;AKP;Evli;3;Hacettepe ;Eczacýlýk;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Hüseyin ÞANVERDÝ;HATAY;;Akdeniz;AK Parti;1963;57;Hatay;Ýþinsaný;AKP;Evli;5;Anadolu;Ýktisat;Lisans;Arapça;0;Erkek;;;;;;;;;;;
Hüseyin YAYMAN;HATAY;;Akdeniz;AK Parti;1969;51;Hatay;Akademisyen;AKP;Evli;2;Ýstanbul;Kamu Yönetimi;Doktora;Ýngilizce;0;Erkek;;;;;;;;;;;
Ýsmet TOKDEMÝR;HATAY;;Akdeniz;CHP;1959;61;Hatay;Ýþinsaný;CHP;Evli;2;Süleyman Demirel;Fen ve Tabiat Bilgisi;Lisans;Arapça;Fransýzca;Erkek;;;;;;;;;;;
Lütfi KAÞIKÇI;HATAY;;Akdeniz;MHP;1982;38;Hatay;Mühendis;MHP;Bekar;0;Mustafa Kemal;Ýnþaat Mühendisliði;Yüksek Lisans ;0;0;Erkek;;;;;;;;;;;
Mehmet GÜZELMANSUR;HATAY;;Akdeniz;CHP;1967;53;Hatay;Mühendis;CHP;Evli;2;ODTÜ;Makine Mühendisliði;Yükseklisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Sabahat ÖZGÜRSOY ÇELÝK;HATAY;;Akdeniz;AK Parti;1982;38;Hatay;Avukat;AKP;Evli;3;Dicle;Hukuk;Lisans;0;0;Kadýn;;;;;;;;;;;
Serkan TOPAL;HATAY;;Akdeniz;CHP;1976;44;Hatay;Öðretmen;CHP;Evli;1;Mustafa Kemal;Sýnýf Öðretmenliði;Lisans;Ýngilizce;Arapça;Erkek;;;;;;;;;;;
Suzan ÞAHÝN;HATAY;;Akdeniz;CHP;1968;52;Hatay;Avukat;CHP;Bekar;0;Ýstanbul;Hukuk;Lisans;Ýngilizce;0;Kadýn;;;;;;;;;;;
Habip EKSÝK;IÐDIR;;Doðu Anadolu;HDP;1985;35;Iðdýr;Doktor;HDP;Evli;1;Atatürk;Týp;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Yaþar KARADAÐ;IÐDIR;;Doðu Anadolu;MHP;1976;44;Iðdýr;Öðretmen;MHP;Evli;3;Atatürk;Coðrafya Öðretmenliði;Lisans;0;0;Erkek;;;;;;;;;;;
Aylin CESUR;ISPARTA;;Akdeniz;ÝYÝ Parti;1970;50;Eskiþehir;Doktor;ÝYÝ Parti;Evli;0;Ankara;Týp;Doktora;Ýngilizce;0;Kadýn;;;;;;;;;;;
Mehmet Uður GÖKGÖZ;ISPARTA;;Akdeniz;AK Parti;1968;52;Isparta;Ýþinsaný;RP;Evli;4;0;0;Lise;0;0;Erkek;;;;;;;;;;;
Recep ÖZEL;ISPARTA;;Akdeniz;AK Parti;1969;51;Isparta;Avukat;AKP;Evli ;2;Marmara;Hukuk;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Süreyya Sadi BÝLGÝÇ;ISPARTA;;Akdeniz;AK Parti;1961;59;Ankara;Özel sektör yöneticisi;AKP;Evli;2;Ýstanbul;Ýktisat;Lisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Abdul Ahat ANDÝCAN;ÝSTANBUL;;Marmara;ÝYÝ Parti;1950;70;Afganistan;Doktor;ANAP;Evli;2;Ýstanbul;Týp;Doktora;Ýngilizce;Fransýzca, Özbekçe;Erkek;;;;;;;;;;;
Abdullah GÜLER;ÝSTANBUL;;Marmara;AK Parti;1969;51;Sivas;Avukat;AKP;?;?;Ýstanbul;Hukuk;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Ahmet ÇELÝK;ÝSTANBUL;;Marmara;ÝYÝ Parti;1957;63;Aðrý;Gazeteci;ÝYÝ Parti;Evli;2;Ege;Turizm;Önlisans;0;0;Erkek;;;;;;;;;;;
Ahmet ÞIK;ÝSTANBUL;;Marmara;BAÐIMSIZ;1970;50;Adana;Gazeteci;HDP;Evli;1;Ýstanbul;Gazetecilik;Lisans;0;0;Erkek;;;;;;;;;;;
Ahmet Berat ÇONKAR;ÝSTANBUL;;Marmara;AK Parti;1976;44;Ankara;Diplomat;AKP;Evli;3;Boðaziçi;Ýþletme;Yükseklisans;Ýngilizce;Ýspanyolca;Erkek;;;;;;;;;;;
Ahmet Hamdi ÇAMLI;ÝSTANBUL;;Marmara;AK Parti;1965;55;Ýstanbul;Þoför;AKP;Evli;3;0;0;Lise;0;0;Erkek;;;;;;;;;;;
Ahmet Mücahit ARINÇ;ÝSTANBUL;;Marmara;AK Parti;1986;34;Manisa;Özel sektör yöneticisi;AKP;Evli;2;Bilgi;Siyaset Bilimi;Lisans;Ýngilizce;0;Erkek;;;;;;;;;;;
Ahmet Ünal ÇEVÝKÖZ;ÝSTANBUL;;Marmara;CHP;1952;68;Ýstanbul;Diplomat;CHP;Evli;2;Boðaziçi;Ýngiliz Dili ve Edebiyatý;Yükseklisans;Ýngilizce;Fransýzca, Rusça, Almanca ve Ýtalyanca;Erkek;;;;;;;;;;;
Akif Çaðatay KILIÇ;ÝSTANBUL;;Marmara;AK Parti;1976;44;Almanya;Siyasetçi;AKP;Evli;2;Hertfordshire;Siyaset;Lisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Alev DEDEGÝL;ÝSTANBUL;;Marmara;AK Parti;1958;62;Ýstanbul;Siyasetçi;AKP;Bekar;0;Marmara;Kamu Yönetimi;Lisans;Ýngilizce;;Kadýn;;;;;;;;;;;
Ali KENANOÐLU;ÝSTANBUL;;Marmara;HDP;1971;49;Tokat;Muhasebeci;HDP;Evli;3;Ýstanbul;Sosyoloji;Lisans;;;Erkek;;;;;;;;;;;
Ali ÞEKER;ÝSTANBUL;;Marmara;CHP;1968;52;Sivas;Doktor;CHP;Evli;3;Cerrahpaþa;Hastane Ýþletm;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
Arzu ERDEM;ÝSTANBUL;;Marmara;MHP;1970;50;Almanya;Akademisyen;MHP;Evli;2;Bahçeþehir;Siyaset;Doktora;Ýngilizce;Almanca;Kadýn;;;;;;;;;;;
Aykut ERDOÐDU;ÝSTANBUL;;Marmara;CHP;1972;48;Kars;Bürokrat;CHP;Evli;2;Gazi;Ýktisat;Yükseklisans;Ýngilizce;Almanca;Erkek;;;;;;;;;;;
Aziz BABUÞCU;ÝSTANBUL;;Marmara;AK Parti;1964;56;Trabzon;Muhasebeci;AKP;Evli;2;Marmara;Ýktisat;Lisans;Ýngilizce;;Erkek;;;;;;;;;;;
